,AIR_INTAKE_TEMP,AUTOMATIC,CAR_YEAR,DAYS_OF_WEEK,DTC_NUMBER,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_POWER,ENGINE_RPM,HOURS,INTAKE_MANIFOLD_PRESSURE,MARK,MIN,MODEL,MONTHS,SHORT TERM FUEL TRIM BANK 1,SPEED,THROTTLE_POS,TIME,TIMING_ADVANCE,VEHICLE_ID,YEAR,ERROR CODE,problems
0,30.0,n,2006.0,5.0,MIL is OFF1 codes,42.0,0.063,1.6,1659.0,18.0,24.0,volkswagen,53.0,polo,7.0,,43.0,0.043,1499536487058,0.714,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
1,30.0,n,2006.0,5.0,MIL is OFF1 codes,42.0,0.067,1.6,1290.0,18.0,26.0,volkswagen,53.0,polo,7.0,,35.0,0.043,1499536499071,0.69,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
2,31.0,n,2006.0,5.0,MIL is OFF1 codes,43.0,0.075,1.6,1002.0,18.0,35.0,volkswagen,53.0,polo,7.0,,12.0,0.043,1499536511089,0.506,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
3,30.0,n,2006.0,5.0,MIL is OFF1 codes,44.0,0.055,1.6,872.0,18.0,33.0,volkswagen,53.0,polo,7.0,,0.0,0.035,1499536523101,0.537,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
4,30.0,n,2006.0,5.0,MIL is OFF1 codes,45.0,0.051,1.6,856.0,18.0,32.0,volkswagen,53.0,polo,7.0,,0.0,0.031,1499536535109,0.541,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
5,30.0,n,2006.0,5.0,MIL is OFF1 codes,46.0,0.055,1.6,861.0,18.0,31.0,volkswagen,53.0,polo,7.0,,0.0,0.031,1499536547124,0.549,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
6,31.0,n,2006.0,5.0,MIL is OFF1 codes,48.0,,1.6,851.0,18.0,31.0,volkswagen,53.0,polo,7.0,,0.0,0.027,1499536559131,0.576,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
7,31.0,n,2006.0,5.0,MIL is OFF1 codes,48.0,,1.6,831.0,18.0,31.0,volkswagen,53.0,polo,7.0,,0.0,0.031,1499536571138,0.561,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
8,31.0,n,2006.0,5.0,MIL is OFF1 codes,50.0,0.051,1.6,841.0,18.0,31.0,volkswagen,53.0,polo,7.0,,0.0,0.031,1499536583159,0.565,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
9,31.0,n,2006.0,5.0,MIL is OFF1 codes,51.0,0.09,1.6,838.0,18.0,54.0,volkswagen,53.0,polo,7.0,,21.0,0.075,1499536595180,0.576,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
10,31.0,n,2006.0,5.0,MIL is OFF1 codes,51.0,0.204,1.6,1666.0,18.0,57.0,volkswagen,53.0,polo,7.0,,37.0,0.043,1499536607194,0.671,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
11,31.0,n,2006.0,5.0,MIL is OFF1 codes,52.0,0.11,1.6,1474.0,18.0,29.0,volkswagen,53.0,polo,7.0,,33.0,0.067,1499536619206,0.678,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
12,31.0,n,2006.0,5.0,MIL is OFF1 codes,52.0,0.208,1.6,1242.0,18.0,85.0,volkswagen,53.0,polo,7.0,,38.0,0.129,1499536631214,0.584,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
13,31.0,n,2006.0,5.0,MIL is OFF1 codes,52.0,0.282,1.6,1587.0,18.0,42.0,volkswagen,53.0,polo,7.0,,36.0,0.196,1499536643224,0.643,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
14,31.0,n,2006.0,5.0,MIL is OFF1 codes,53.0,0.2,1.6,1382.0,18.0,28.0,volkswagen,53.0,polo,7.0,,50.0,0.039,1499536655235,0.624,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
15,31.0,n,2006.0,5.0,MIL is OFF1 codes,53.0,0.059,1.6,1618.0,18.0,25.0,volkswagen,53.0,polo,7.0,,33.0,0.035,1499536667251,0.561,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
16,32.0,n,2006.0,5.0,MIL is OFF1 codes,53.0,0.051,1.6,859.0,18.0,74.0,volkswagen,53.0,polo,7.0,,28.0,0.067,1499536679265,0.502,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
17,31.0,n,2006.0,5.0,MIL is OFF1 codes,53.0,0.11,1.6,1507.0,18.0,45.0,volkswagen,53.0,polo,7.0,,46.0,0.102,1499536691282,0.647,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
18,31.0,n,2006.0,5.0,MIL is OFF1 codes,54.0,0.114,1.6,1936.0,18.0,18.0,volkswagen,53.0,polo,7.0,,45.0,0.051,1499536703297,0.765,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
19,32.0,n,2006.0,5.0,MIL is OFF1 codes,54.0,0.204,1.6,1878.0,18.0,24.0,volkswagen,53.0,polo,7.0,,43.0,0.118,1499536715307,0.678,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
20,32.0,n,2006.0,5.0,MIL is OFF1 codes,54.0,0.122,1.6,1715.0,18.0,34.0,volkswagen,53.0,polo,7.0,,42.0,0.102,1499536727322,0.69,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
21,32.0,n,2006.0,5.0,MIL is OFF1 codes,54.0,0.247,1.6,1612.0,18.0,60.0,volkswagen,53.0,polo,7.0,,45.0,0.2,1499536746366,0.667,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
22,33.0,n,2006.0,5.0,MIL is OFF1 codes,54.0,0.063,1.6,1411.0,18.0,31.0,volkswagen,53.0,polo,7.0,,13.0,0.039,1499536758382,0.576,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
23,33.0,n,2006.0,5.0,MIL is OFF1 codes,55.0,0.235,1.6,1947.0,18.0,38.0,volkswagen,53.0,polo,7.0,,32.0,0.063,1499536770396,0.682,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
24,33.0,n,2006.0,5.0,MIL is OFF1 codes,56.0,0.063,1.6,1217.0,18.0,31.0,volkswagen,53.0,polo,7.0,,1.0,0.035,1499536799328,0.588,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
25,33.0,n,2006.0,5.0,MIL is OFF1 codes,59.0,0.086,1.6,1180.0,18.0,94.0,volkswagen,53.0,polo,7.0,,27.0,0.137,1499536812988,0.624,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
26,33.0,n,2006.0,5.0,MIL is OFF1 codes,61.0,0.259,1.6,1682.0,18.0,51.0,volkswagen,53.0,polo,7.0,,22.0,0.059,1499536825003,0.612,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
27,33.0,n,2006.0,5.0,MIL is OFF1 codes,63.0,0.259,1.6,1686.0,18.0,50.0,volkswagen,53.0,polo,7.0,,41.0,0.275,1499536837015,0.514,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
28,33.0,n,2006.0,5.0,MIL is OFF1 codes,64.0,0.271,1.6,1790.0,18.0,77.0,volkswagen,53.0,polo,7.0,,55.0,0.188,1499536851100,0.49,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
29,33.0,n,2006.0,5.0,MIL is OFF1 codes,65.0,0.067,1.6,2073.0,18.0,18.0,volkswagen,53.0,polo,7.0,,38.0,0.039,1499536863116,0.584,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
30,33.0,n,2006.0,5.0,MIL is OFF1 codes,64.0,0.055,1.6,1135.0,18.0,68.0,volkswagen,53.0,polo,7.0,,35.0,0.031,1499536875468,0.49,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
31,33.0,n,2006.0,5.0,MIL is OFF1 codes,64.0,0.118,1.6,1770.0,18.0,20.0,volkswagen,53.0,polo,7.0,,42.0,0.035,1499536891438,0.682,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
32,34.0,n,2006.0,5.0,MIL is OFF1 codes,63.0,0.051,1.6,824.0,18.0,51.0,volkswagen,53.0,polo,7.0,,32.0,0.027,1499536912722,0.565,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
33,34.0,n,2006.0,5.0,MIL is OFF1 codes,65.0,0.325,1.6,1908.0,18.0,49.0,volkswagen,53.0,polo,7.0,,46.0,0.169,1499536930231,0.682,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
34,34.0,n,2006.0,5.0,MIL is OFF1 codes,66.0,,1.6,846.0,18.0,30.0,volkswagen,53.0,polo,7.0,,0.0,0.027,1499536959181,0.482,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
35,35.0,n,2006.0,5.0,MIL is OFF1 codes,69.0,0.29,1.6,1651.0,18.0,62.0,volkswagen,53.0,polo,7.0,,38.0,0.18,1499536974758,0.624,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
36,36.0,n,2006.0,5.0,MIL is OFF1 codes,70.0,0.286,1.6,2076.0,18.0,52.0,volkswagen,53.0,polo,7.0,,56.0,0.118,1499536992068,0.69,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
37,36.0,n,2006.0,5.0,MIL is OFF1 codes,69.0,0.051,1.6,1101.0,18.0,28.0,volkswagen,53.0,polo,7.0,,15.0,0.027,1499537008598,0.431,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
38,36.0,n,2006.0,5.0,MIL is OFF1 codes,69.0,0.396,1.6,1898.0,18.0,65.0,volkswagen,53.0,polo,7.0,,52.0,0.18,1499537020611,0.388,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
39,36.0,n,2006.0,5.0,MIL is OFF1 codes,70.0,0.247,1.6,1630.0,18.0,60.0,volkswagen,53.0,polo,7.0,,56.0,0.125,1499537033407,0.671,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
40,36.0,n,2006.0,5.0,MIL is OFF1 codes,69.0,0.267,1.6,1867.0,18.0,23.0,volkswagen,53.0,polo,7.0,,36.0,0.043,1499537051178,0.682,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
41,36.0,n,2006.0,5.0,MIL is OFF1 codes,69.0,,1.6,788.0,18.0,30.0,volkswagen,53.0,polo,7.0,,0.0,0.027,1499537063188,0.541,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
42,36.0,n,2006.0,5.0,MIL is OFF1 codes,70.0,,1.6,776.0,18.0,31.0,volkswagen,53.0,polo,7.0,,0.0,0.027,1499537079350,0.549,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
43,37.0,n,2006.0,5.0,MIL is OFF1 codes,73.0,0.384,1.6,2259.0,18.0,73.0,volkswagen,53.0,polo,7.0,,40.0,0.176,1499537102308,0.655,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
44,37.0,n,2006.0,5.0,MIL is OFF1 codes,74.0,0.059,1.6,1350.0,18.0,28.0,volkswagen,53.0,polo,7.0,,23.0,0.035,1499537119330,0.502,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
45,37.0,n,2006.0,5.0,MIL is OFF1 codes,73.0,0.271,1.6,1739.0,18.0,28.0,volkswagen,53.0,polo,7.0,,16.0,0.133,1499537143251,0.647,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
46,37.0,n,2006.0,5.0,MIL is OFF1 codes,74.0,,1.6,817.0,18.0,33.0,volkswagen,53.0,polo,7.0,,7.0,0.027,1499537161073,0.482,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
47,38.0,n,2006.0,5.0,MIL is OFF1 codes,75.0,0.075,1.6,841.0,18.0,45.0,volkswagen,53.0,polo,7.0,,2.0,0.035,1499537182343,0.482,car6,2017.0,P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1); 
