code;problem_1;problem_2;problem_3;problem_4;problems
P0000 ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P0001 ;Fuel Volume Regulator Control Circuit/Open;;;;Fuel Volume Regulator Control Circuit/Open___
;;;;;___
P0002 ;Fuel Volume Regulator Control Circuit Range/Performance;;;;Fuel Volume Regulator Control Circuit Range/Performance___
;;;;;___
P0003 ;Fuel Volume Regulator Control Circuit Low;;;;Fuel Volume Regulator Control Circuit Low___
;;;;;___
P0004 ;Fuel Volume Regulator Control Circuit High;;;;Fuel Volume Regulator Control Circuit High___
;;;;;___
P0005 ;"Fuel Shutoff Valve ""A"" Control Circuit/Open";;;;"Fuel Shutoff Valve ""A"" Control Circuit/Open___"
;;;;;___
P0006 ;"Fuel Shutoff Valve ""A"" Control Circuit Low";;;;"Fuel Shutoff Valve ""A"" Control Circuit Low___"
;;;;;___
P0007 ;"Fuel Shutoff Valve ""A"" Control Circuit High";;;;"Fuel Shutoff Valve ""A"" Control Circuit High___"
;;;;;___
P0008 ;Engine Positions System Performance Bank 1;;;;Engine Positions System Performance Bank 1___
;;;;;___
P0009 ;Engine Position System Performance Bank 2;;;;Engine Position System Performance Bank 2___
;;;;;___
P000A ;A Camshaft Position Slow Response Bank 1;;;;A Camshaft Position Slow Response Bank 1___
;;;;;___
P000B ;B Camshaft Position Slow Response Bank 1;;;;B Camshaft Position Slow Response Bank 1___
;;;;;___
P000C ;A Camshaft Position Slow Response Bank 2;;;;A Camshaft Position Slow Response Bank 2___
;;;;;___
P000D ;B Camshaft Position Slow Response Bank 2;;;;B Camshaft Position Slow Response Bank 2___
;;;;;___
P000E ;Fuel Volume Regulator Control Exceeded Learning Limit;;;;Fuel Volume Regulator Control Exceeded Learning Limit___
;;;;;___
P000F ;Fuel System Over Pressure Relief Valve Activated;;;;Fuel System Over Pressure Relief Valve Activated___
;;;;;___
P0010 ;A Camshaft Position Actuator Circuit (Bank 1);;;;A Camshaft Position Actuator Circuit (Bank 1)___
;;;;;___
P0011 ;A Camshaft Position ;Timing Over;Advanced or System Performance (Bank 1);;A Camshaft Position _Timing Over_Advanced or System Performance (Bank 1)_
;;;;;___
P0012 ;A Camshaft Position ;Timing Over;Retarded (Bank 1);;A Camshaft Position _Timing Over_Retarded (Bank 1)_
;;;;;___
P0013 ;B Camshaft Position ;Actuator Circuit (Bank 1);;;B Camshaft Position _Actuator Circuit (Bank 1)__
;;;;;___
P0014 ;B Camshaft Position ;Timing Over;Advanced or System Performance (Bank 1);;B Camshaft Position _Timing Over_Advanced or System Performance (Bank 1)_
;;;;;___
P0015 ;B Camshaft Position ;Timing Over;Retarded (Bank 1);;B Camshaft Position _Timing Over_Retarded (Bank 1)_
;;;;;___
P0016 ;Crankshaft Position ;Camshaft Position Correlation (Bank 1 Sensor A);;;Crankshaft Position _Camshaft Position Correlation (Bank 1 Sensor A)__
;;;;;___
P0017 ;Crankshaft Position ;Camshaft Position Correlation (Bank 1 Sensor B);;;Crankshaft Position _Camshaft Position Correlation (Bank 1 Sensor B)__
;;;;;___
P0018 ;Crankshaft Position ;Camshaft Position Correlation (Bank 2 Sensor A);;;Crankshaft Position _Camshaft Position Correlation (Bank 2 Sensor A)__
;;;;;___
P0019 ;Crankshaft Position ;Camshaft Position Correlation (Bank 2 Sensor B);;;Crankshaft Position _Camshaft Position Correlation (Bank 2 Sensor B)__
;;;;;___
P001A ;A Camshaft Profile Control Circuit/Open Bank 1;;;;A Camshaft Profile Control Circuit/Open Bank 1___
;;;;;___
P001B ;A Camshaft Profile Control Circuit Low Bank 1;;;;A Camshaft Profile Control Circuit Low Bank 1___
;;;;;___
P001C ;A Camshaft Profile Control Circuit High Bank 1;;;;A Camshaft Profile Control Circuit High Bank 1___
;;;;;___
P001D ;A Camshaft Profile Control Circuit/Open Bank 2;;;;A Camshaft Profile Control Circuit/Open Bank 2___
;;;;;___
P001E ;A Camshaft Profile Control Circuit Low Bank 2;;;;A Camshaft Profile Control Circuit Low Bank 2___
;;;;;___
P001F ;A Camshaft Profile Control Circuit High Bank 2;;;;A Camshaft Profile Control Circuit High Bank 2___
;;;;;___
P0020 ;A Camshaft Position Actuator Circuit (Bank 2);;;;A Camshaft Position Actuator Circuit (Bank 2)___
;;;;;___
P0021 ;A Camshaft Position ;Timing Over;Advanced or System Performance (Bank 2);;A Camshaft Position _Timing Over_Advanced or System Performance (Bank 2)_
;;;;;___
P0022 ;A Camshaft Position ;Timing Over;Retarded (Bank 2);;A Camshaft Position _Timing Over_Retarded (Bank 2)_
;;;;;___
P0023 ;B Camshaft Position ;Actuator Circuit (Bank 2);;;B Camshaft Position _Actuator Circuit (Bank 2)__
;;;;;___
P0024 ;B Camshaft Position ;Timing Over;Advanced or System Performance (Bank 2);;B Camshaft Position _Timing Over_Advanced or System Performance (Bank 2)_
;;;;;___
P0025 ;B Camshaft Position ;Timing Over;Retarded (Bank 2);;B Camshaft Position _Timing Over_Retarded (Bank 2)_
;;;;;___
P0026 ;Intake Valve Control Solenoid Circuit Range/Performance Bank 1;;;;Intake Valve Control Solenoid Circuit Range/Performance Bank 1___
;;;;;___
P0027 ;Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1;;;;Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1___
;;;;;___
P0028 ;Intake valve Control Solenoid Circuit Range/Performance Bank 2;;;;Intake valve Control Solenoid Circuit Range/Performance Bank 2___
;;;;;___
P0029 ;Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2;;;;Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2___
;;;;;___
P002A ;B Camshaft Profile Control Circuit/Open Bank 1;;;;B Camshaft Profile Control Circuit/Open Bank 1___
;;;;;___
P002B ;B Camshaft Profile Control Circuit Low Bank 1;;;;B Camshaft Profile Control Circuit Low Bank 1___
;;;;;___
P002C ;B Camshaft Profile Control Circuit High Bank 1;;;;B Camshaft Profile Control Circuit High Bank 1___
;;;;;___
P002D ;B Camshaft Profile Control Circuit/Open Bank 2;;;;B Camshaft Profile Control Circuit/Open Bank 2___
;;;;;___
P002E ;B Camshaft Profile Control Circuit Low Bank 2;;;;B Camshaft Profile Control Circuit Low Bank 2___
;;;;;___
P002F ;B Camshaft Profile Control Circuit High Bank 2;;;;B Camshaft Profile Control Circuit High Bank 2___
;;;;;___
P0030 ;HO2S Heater Control Circuit (Bank 1 Sensor 1);;;;HO2S Heater Control Circuit (Bank 1 Sensor 1)___
;;;;;___
P0031 ;HO2S Heater Control Circuit Low (Bank 1 Sensor 1);;;;HO2S Heater Control Circuit Low (Bank 1 Sensor 1)___
;;;;;___
P0032 ;HO2S Heater Control Circuit High (Bank 1 Sensor 1);;;;HO2S Heater Control Circuit High (Bank 1 Sensor 1)___
;;;;;___
P0033 ;Turbo Charger Bypass Valve Control Circuit;;;;Turbo Charger Bypass Valve Control Circuit___
;;;;;___
P0034 ;Turbo Charger Bypass Valve Control Circuit Low;;;;Turbo Charger Bypass Valve Control Circuit Low___
;;;;;___
